,Product_Code,Warehouse,Product_Category,Date,Returns,month_year,year
199,Product_2165,Whse_A,Category_024,2017-02-27,4.0,2017-02,2017
200,Product_2169,Whse_A,Category_024,2017-02-27,3.0,2017-02,2017
201,Product_2128,Whse_A,Category_009,2017-06-18,12.0,2017-06,2017
202,Product_2132,Whse_A,Category_009,2017-06-18,12.0,2017-06,2017
203,Product_2138,Whse_A,Category_009,2017-06-18,6.0,2017-06,2017
204,Product_0150,Whse_A,Category_015,2017-02-01,7.0,2017-02,2017
205,Product_0202,Whse_A,Category_007,2016-11-04,400.0,2016-11,2016
206,Product_0202,Whse_A,Category_007,2016-11-04,100.0,2016-11,2016
207,Product_1095,Whse_A,Category_024,2017-08-17,3.0,2017-08,2017
208,Product_1646,Whse_A,Category_024,2017-08-17,3.0,2017-08,2017
209,Product_0211,Whse_A,Category_007,2017-05-17,300.0,2017-05,2017
210,Product_0634,Whse_A,Category_007,2017-06-01,10.0,2017-06,2017
211,Product_0636,Whse_A,Category_007,2017-06-01,10.0,2017-06,2017
212,Product_0636,Whse_A,Category_007,2017-06-01,50.0,2017-06,2017
213,Product_2164,Whse_A,Category_024,2017-08-31,2.0,2017-08,2017
214,Product_2167,Whse_A,Category_024,2017-02-15,7.0,2017-02,2017
215,Product_0190,Whse_A,Category_007,2017-11-13,25.0,2017-11,2017
216,Product_2121,Whse_A,Category_009,2017-11-13,25.0,2017-11,2017
217,Product_0120,Whse_A,Category_021,2017-11-13,10.0,2017-11,2017
218,Product_0123,Whse_A,Category_021,2017-11-13,10.0,2017-11,2017
219,Product_2169,Whse_A,Category_024,2017-11-13,1.0,2017-11,2017
220,Product_0131,Whse_A,Category_021,2017-06-14,6.0,2017-06,2017
221,Product_0133,Whse_A,Category_021,2017-06-14,6.0,2017-06,2017
222,Product_2055,Whse_A,Category_021,2017-05-22,9.0,2017-05,2017
223,Product_1410,Whse_A,Category_019,2017-05-22,8000.0,2017-05,2017
224,Product_1470,Whse_A,Category_019,2017-05-22,10000.0,2017-05,2017
225,Product_1513,Whse_A,Category_019,2017-05-22,10000.0,2017-05,2017
226,Product_1548,Whse_A,Category_019,2017-05-22,7000.0,2017-05,2017
227,Product_1560,Whse_A,Category_019,2017-05-22,1500.0,2017-05,2017
228,Product_0308,Whse_A,Category_024,2017-06-29,6.0,2017-06,2017
229,Product_1496,Whse_A,Category_019,2017-06-01,1450.0,2017-06,2017
230,Product_0496,Whse_A,Category_015,2017-06-01,5.0,2017-06,2017
231,Product_0512,Whse_A,Category_022,2017-04-30,18.0,2017-04,2017
232,Product_0512,Whse_A,Category_022,2017-07-26,288.0,2017-07,2017
233,Product_0516,Whse_A,Category_022,2017-07-26,10.0,2017-07,2017
234,Product_0533,Whse_A,Category_022,2017-07-26,32.0,2017-07,2017
235,Product_0512,Whse_A,Category_022,2017-08-10,546.0,2017-08,2017
236,Product_0516,Whse_A,Category_022,2017-08-10,337.0,2017-08,2017
237,Product_0200,Whse_A,Category_007,2017-06-01,1815.0,2017-06,2017
238,Product_0206,Whse_A,Category_007,2017-09-07,50.0,2017-09,2017
239,Product_2132,Whse_A,Category_009,2017-05-30,1131.0,2017-05,2017
240,Product_2128,Whse_A,Category_009,2017-05-30,340.0,2017-05,2017
241,Product_2128,Whse_A,Category_009,2017-05-30,831.0,2017-05,2017
242,Product_2128,Whse_A,Category_009,2017-05-30,329.0,2017-05,2017
243,Product_1676,Whse_A,Category_021,2017-04-10,5.0,2017-04,2017
244,Product_0123,Whse_A,Category_021,2017-06-01,1820.0,2017-06,2017
245,Product_0123,Whse_A,Category_021,2017-05-30,2000.0,2017-05,2017
246,Product_1892,Whse_A,Category_021,2017-11-26,28.0,2017-11,2017
247,Product_2056,Whse_A,Category_021,2017-11-26,9.0,2017-11,2017
248,Product_0311,Whse_A,Category_024,2017-05-30,12.0,2017-05,2017
249,Product_0320,Whse_A,Category_024,2017-11-26,1400.0,2017-11,2017
250,Product_0319,Whse_A,Category_017,2017-11-26,10.0,2017-11,2017
251,Product_1800,Whse_A,Category_017,2017-11-26,9.0,2017-11,2017
252,Product_0471,Whse_A,Category_015,2016-12-21,2.0,2016-12,2016
253,Product_0635,Whse_A,Category_007,2017-06-21,100.0,2017-06,2017
254,Product_0634,Whse_A,Category_007,2017-06-21,10.0,2017-06,2017
255,Product_0486,Whse_A,Category_013,2017-08-15,22.0,2017-08,2017
256,Product_2053,Whse_A,Category_021,2017-02-02,4.0,2017-02,2017
257,Product_2164,Whse_A,Category_024,2017-06-21,13.0,2017-06,2017
258,Product_1957,Whse_A,Category_029,2017-02-02,40.0,2017-02,2017
259,Product_1958,Whse_A,Category_029,2017-02-02,40.0,2017-02,2017
260,Product_1959,Whse_A,Category_029,2017-02-02,10.0,2017-02,2017
261,Product_1960,Whse_A,Category_029,2017-02-02,6.0,2017-02,2017
262,Product_0150,Whse_A,Category_015,2017-03-27,3.0,2017-03,2017
263,Product_0495,Whse_A,Category_015,2017-03-27,3.0,2017-03,2017
264,Product_0150,Whse_A,Category_015,2017-03-27,2.0,2017-03,2017
265,Product_0200,Whse_A,Category_007,2017-03-27,400.0,2017-03,2017
266,Product_0213,Whse_A,Category_007,2017-03-27,69.0,2017-03,2017
267,Product_0634,Whse_A,Category_007,2017-03-27,10.0,2017-03,2017
268,Product_2165,Whse_A,Category_024,2017-03-27,3.0,2017-03,2017
269,Product_1387,Whse_A,Category_019,2017-03-27,1000.0,2017-03,2017
270,Product_1513,Whse_A,Category_019,2017-03-27,1000.0,2017-03,2017
271,Product_1250,Whse_A,Category_019,2017-08-09,2000.0,2017-08,2017
272,Product_1432,Whse_A,Category_019,2017-07-19,79000.0,2017-07,2017
273,Product_0293,Whse_A,Category_021,2017-04-19,300.0,2017-04,2017
274,Product_1007,Whse_A,Category_006,2017-02-02,1000.0,2017-02,2017
275,Product_0413,Whse_A,Category_019,2017-03-21,1000.0,2017-03,2017
276,Product_0417,Whse_A,Category_019,2017-03-21,2000.0,2017-03,2017
277,Product_1410,Whse_A,Category_019,2017-03-21,1500.0,2017-03,2017
278,Product_0471,Whse_A,Category_015,2017-12-04,1.0,2017-12,2017
279,Product_0394,Whse_A,Category_007,2017-02-02,2.0,2017-02,2017
280,Product_0935,Whse_A,Category_006,2017-02-22,4000.0,2017-02,2017
281,Product_0471,Whse_A,Category_015,2017-10-17,4.0,2017-10,2017
282,Product_0213,Whse_A,Category_007,2017-10-17,50.0,2017-10,2017
283,Product_1776,Whse_A,Category_010,2017-11-26,20.0,2017-11,2017
284,Product_0495,Whse_A,Category_015,2017-03-06,24.0,2017-03,2017
285,Product_0365,Whse_A,Category_007,2017-10-24,1.0,2017-10,2017
286,Product_0636,Whse_A,Category_007,2017-12-19,20.0,2017-12,2017
287,Product_2128,Whse_A,Category_009,2017-03-19,360.0,2017-03,2017
288,Product_2138,Whse_A,Category_009,2017-03-19,400.0,2017-03,2017
289,Product_2108,Whse_A,Category_009,2017-10-24,90.0,2017-10,2017
290,Product_0487,Whse_A,Category_013,2017-10-24,40.0,2017-10,2017
291,Product_1675,Whse_A,Category_021,2017-10-24,40.0,2017-10,2017
292,Product_1792,Whse_A,Category_024,2017-10-24,1.0,2017-10,2017
293,Product_2164,Whse_A,Category_024,2017-12-19,1.0,2017-12,2017
294,Product_0294,Whse_A,Category_015,2017-09-07,54.0,2017-09,2017
295,Product_0301,Whse_A,Category_015,2017-09-07,15.0,2017-09,2017
296,Product_0453,Whse_A,Category_015,2017-09-07,18.0,2017-09,2017
297,Product_0458,Whse_A,Category_015,2017-09-07,4.0,2017-09,2017
298,Product_0463,Whse_A,Category_015,2017-09-07,7.0,2017-09,2017
299,Product_0505,Whse_A,Category_015,2017-09-07,17.0,2017-09,2017
300,Product_0202,Whse_A,Category_007,2017-07-16,10.0,2017-07,2017
301,Product_0190,Whse_A,Category_007,2017-09-07,50.0,2017-09,2017
302,Product_0211,Whse_A,Category_007,2017-09-07,66.0,2017-09,2017
303,Product_0394,Whse_A,Category_007,2017-09-07,2.0,2017-09,2017
304,Product_0308,Whse_A,Category_024,2017-09-07,13.0,2017-09,2017
305,Product_2110,Whse_A,Category_009,2017-07-13,10.0,2017-07,2017
306,Product_2113,Whse_A,Category_009,2017-07-13,74.0,2017-07,2017
307,Product_2052,Whse_A,Category_021,2017-12-18,24.0,2017-12,2017
308,Product_0200,Whse_A,Category_007,2017-11-09,18.0,2017-11,2017
309,Product_0206,Whse_A,Category_007,2017-11-09,18.0,2017-11,2017
310,Product_0122,Whse_A,Category_021,2017-11-09,40.0,2017-11,2017
311,Product_0200,Whse_A,Category_007,2017-05-21,100.0,2017-05,2017
312,Product_0352,Whse_A,Category_021,2017-05-24,3.0,2017-05,2017
313,Product_0352,Whse_A,Category_021,2017-10-04,1.0,2017-10,2017
314,Product_1978,Whse_A,Category_011,2017-06-25,5.0,2017-06,2017
315,Product_2039,Whse_A,Category_011,2017-10-12,9.0,2017-10,2017
316,Product_0495,Whse_A,Category_015,2017-06-29,1.0,2017-06,2017
317,Product_0301,Whse_A,Category_015,2017-10-12,53.0,2017-10,2017
318,Product_0205,Whse_A,Category_007,2017-03-20,200.0,2017-03,2017
319,Product_2142,Whse_A,Category_009,2017-06-25,6.0,2017-06,2017
320,Product_0333,Whse_A,Category_021,2017-06-25,5.0,2017-06,2017
321,Product_1675,Whse_A,Category_021,2017-06-25,54.0,2017-06,2017
322,Product_0122,Whse_A,Category_021,2017-10-12,8130.0,2017-10,2017
323,Product_0133,Whse_A,Category_021,2017-10-12,146.0,2017-10,2017
324,Product_0342,Whse_A,Category_021,2017-10-12,1.0,2017-10,2017
325,Product_2052,Whse_A,Category_021,2017-10-12,185.0,2017-10,2017
326,Product_0337,Whse_A,Category_021,2017-10-30,7.0,2017-10,2017
327,Product_1094,Whse_A,Category_024,2017-02-22,6.0,2017-02,2017
328,Product_1094,Whse_A,Category_024,2017-10-12,40.0,2017-10,2017
329,Product_1095,Whse_A,Category_024,2017-10-12,66.0,2017-10,2017
330,Product_1645,Whse_A,Category_024,2017-10-12,3.0,2017-10,2017
331,Product_0001,Whse_A,Category_005,2017-10-12,1000.0,2017-10,2017
332,Product_0020,Whse_A,Category_005,2017-10-12,1000.0,2017-10,2017
333,Product_0031,Whse_A,Category_005,2017-10-12,1000.0,2017-10,2017
334,Product_0936,Whse_A,Category_006,2017-10-12,20000.0,2017-10,2017
335,Product_1003,Whse_A,Category_006,2017-10-12,500.0,2017-10,2017
336,Product_0946,Whse_A,Category_018,2017-10-12,2.0,2017-10,2017
337,Product_1298,Whse_A,Category_019,2017-06-25,13300.0,2017-06,2017
338,Product_1409,Whse_A,Category_019,2017-06-25,7700.0,2017-06,2017
339,Product_1495,Whse_A,Category_019,2017-06-25,1700.0,2017-06,2017
340,Product_1365,Whse_A,Category_019,2017-10-12,1000.0,2017-10,2017
341,Product_1410,Whse_A,Category_019,2017-10-12,2000.0,2017-10,2017
342,Product_1427,Whse_A,Category_019,2017-10-12,1000.0,2017-10,2017
343,Product_1461,Whse_A,Category_019,2017-10-12,1000.0,2017-10,2017
344,Product_1470,Whse_A,Category_019,2017-10-12,2000.0,2017-10,2017
345,Product_1477,Whse_A,Category_019,2017-10-12,1000.0,2017-10,2017
346,Product_1478,Whse_A,Category_019,2017-10-12,1000.0,2017-10,2017
347,Product_1513,Whse_A,Category_019,2017-10-12,2000.0,2017-10,2017
348,Product_1518,Whse_A,Category_019,2017-10-12,1000.0,2017-10,2017
349,Product_1519,Whse_A,Category_019,2017-10-12,1000.0,2017-10,2017
350,Product_1539,Whse_A,Category_019,2017-10-12,500.0,2017-10,2017
351,Product_1541,Whse_A,Category_019,2017-10-12,1000.0,2017-10,2017
352,Product_1630,Whse_A,Category_019,2017-10-12,1000.0,2017-10,2017
353,Product_1656,Whse_A,Category_026,2017-10-12,12.0,2017-10,2017
354,Product_1669,Whse_A,Category_026,2017-10-12,20.0,2017-10,2017
355,Product_1670,Whse_A,Category_026,2017-10-12,20.0,2017-10,2017
356,Product_1705,Whse_A,Category_026,2017-10-12,5.0,2017-10,2017
357,Product_1748,Whse_A,Category_026,2017-10-12,5.0,2017-10,2017
